,,manual,manual,,,,,,manual,,,,,,,,manual/ tally,manual/ tally,,,,SALE-2025-2026,,,,,,,,,,,,SALE-2024-2025,,,,,,,,,,,,SALE-2023-2024,,,,,,,,,,,,SALE-2022-2023,,,,,,,,,,,,SALE-2021-2022,,,,,,,,,,,
8,Marvelous Mechinist,10.00,CCARE,purchase@marveloussmechinist.com,Pay & Charge,NO,NO,RUSTX,3.00,12.8.2025,yes,,22,20,,18,1.42,,3.33,,3.89,3.81,0.84,1.96,2.30,0.84,3.15,1.74,2.11,4.86,4.08,2.77,2.29,2.99,4.21,4.44,3.12,1.90,1.86,1.81,2.99,3.83,2.38,3.79,3.43,2.53,3.82,2.65,2.87,3.14,3.35,2.97,2.26,3.31,3.43,3.93,4.42,1.97,4.14,2.41,2.14,2.32,1.80,2.37,4.28,1.94,,3.03,2.15,,1.81,3.67,3.10,2.65,3.15,2.90,2.89,2.51,4.41,2.67,3.77
9,ghatge patil industries 2,10.00,CCARE,jkpatil.vehicle@gpi.co.in,To Pay,NO,NO,RUSTX+DR. BIO,3.00,20.5.2025,yes,15,,,,,1.66,,,,8.64,5.59,1.77,3.38,4.47,1.70,5.29,2.84,1.05,4.21,4.79,3.99,2.26,4.48,1.93,5.09,5.11,2.19,2.97,3.52,4.99,4.08,1.76,1.07,3.44,3.09,4.45,5.95,2.52,1.32,4.77,2.86,1.98,3.75,0.89,2.37,2.46,4.00,2.01,2.98,3.18,2.10,1.54,2.00,2.99,2.71,1.90,2.53,2.17,3.25,2.02,2.00,2.61,1.53,1.97,2.13,1.18,1.80,,2.33,2.20
10,HARIOM ENTERPRISES - KOLHAPUR,10.00,CCARE,,Nil,,,RUSTX,2.00,26.7.2025,yes,,22,,,5,0.10,0.46,1.99,,3.43,1.01,2.00,0.71,2.24,0.94,1.40,0.53,1.34,2.42,2.55,2.83,2.64,0.84,3.51,0.43,1.43,2.73,1.87,1.34,2.97,0.48,1.24,0.90,1.36,1.89,0.90,0.99,1.72,2.53,1.93,2.23,1.89,3.76,1.73,2.35,0.68,1.27,0.75,3.40,3.72,2.84,1.27,,,,,,,,,,,,,,,,,,
11,Ratna Udyog,8.00,CCARE,cmm@ratnaudyog.com,Nil,YES,NO,RUSTX,1.00,16.8.2025,yes,,22,22/20,,,1.30,1.66,5.24,,3.41,2.56,2.03,2.16,3.23,1.61,2.84,2.77,1.88,3.54,2.52,1.86,3.24,2.23,2.15,2.81,2.71,2.20,2.72,2.67,2.44,3.64,3.03,4.10,1.92,2.30,3.33,1.48,1.21,1.32,2.02,1.22,1.62,2.17,1.98,2.51,2.13,2.30,1.92,2.30,1.01,1.56,1.18,1.94,1.11,1.68,1.34,1.26,1.41,1.07,0.85,1.35,1.13,1.65,1.74,1.29,1.38,2.00,1.47,1.70,2.07
12,Marvelous Engineering,14.00,CCARE,purchase@marvelousengineers.com,Pay & Charge,YES,NO,RUSTX,2.00,22.7.2025,yes,,22,20,,18,2.35,,2.38,,2.93,4.15,2.90,1.56,2.28,2.22,2.43,1.17,2.52,3.49,1.89,1.74,1.94,2.33,4.29,2.57,3.06,1.21,1.84,1.62,4.95,3.29,1.16,1.53,2.07,2.39,3.50,1.62,1.31,1.86,2.12,4.02,3.15,3.10,1.58,1.01,2.91,1.92,1.52,0.68,2.89,,2.65,2.01,2.03,1.82,3.19,1.93,2.48,,2.01,1.14,2.76,2.40,0.96,2.59,2.63,1.61,3.33,,2.34
13,Jinabakul pvt ltd,10.00,CCARE,purchase@jinabakul.com,Nil,NO,NO,RUSTX,1.00,2.8.2025,yes,,,,,,1.35,,2.19,,2.15,,1.67,1.14,2.24,,1.92,1.92,1.67,1.39,0.53,1.45,1.92,1.98,1.14,1.67,1.64,0.82,1.41,1.92,1.14,1.67,1.98,1.92,0.26,3.67,2.21,3.59,1.67,1.92,1.92,1.72,1.72,1.98,1.11,1.72,1.18,1.98,1.72,1.98,1.23,2.25,1.71,1.69,,1.98,0.54,1.72,,0.54,2.61,5.07,5.11,3.96,1.14,2.80,3.72,1.18,1.48,3.10,1.98
14,Ashok Iron Works,25.00,CCARE,chbmd.purchase@ashokiron.com,Nil,NO,NO,RUSTX,1.00,15.7.2025,yes,,,,,10,,,,,0.11,1.34,0.62,1.35,0.62,1.87,0.73,1.38,0.62,1.25,1.98,1.25,1.25,0.62,0.62,1.25,0.74,1.45,1.34,2.45,2.79,1.76,3.19,2.49,2.76,0.50,2.12,3.17,2.26,0.69,0.68,2.50,3.42,2.71,2.60,2.15,2.69,2.09,4.07,0.60,2.95,0.67,,3.89,3.45,5.99,4.68,3.77,3.06,3.44,1.55,2.91,3.38,2.40,3.53,2.50,4.38,3.83,2.14,1.25,7.67
15,JK MAINI CHIPLUN,5.00,CCARE,nitin.jadhav@raymond.in,To Pay,,,RUSTX,2.00,10.8.2025,yes,,,,,,,,10.01,,1.81,,1.18,1.42,,5.52,3.04,3.92,1.90,,5.74,2.37,0.54,2.93,3.66,2.10,3.18,2.88,2.00,0.79,2.84,2.24,5.38,0.94,1.90,2.36,2.94,3.29,2.18,,1.18,,,6.66,4.01,2.66,2.36,1.18,2.41,2.70,2.48,2.76,2.10,3.51,,1.12,1.60,1.49,1.19,,1.35,1.09,,,1.74,,1.13,2.62,,4.48,1.53
16,Hindalco Industries Limited ,0.00,CCARE,"kalavathi.shanbhag@adityabirla.com, atul.pol@adityabirla.com",Nil,NO,NO,RUSTX,1.50,8.7.2025,,,,,,,2.04,,2.04,,2.04,,,,1.63,2.85,1.22,,1.63,,1.63,,1.63,1.63,1.22,1.63,,1.63,2.44,1.22,1.29,1.72,1.29,1.29,1.29,1.72,0.86,1.29,,2.15,2.26,1.35,0.90,1.35,,,1.81,,1.35,1.92,1.45,1.45,,1.45,1.93,3.38,,,3.70,,1.39,3.70,0.92,1.85,2.31,2.31,,0.80,2.00,2.00,
17,Akp ferrocast pvt ltd.,5.00,CCARE,purchase@akpferrocast.com,To Pay,NO,NO,RUSTX,1.20,21.7.2025,yes,,,,,,1.67,,1.40,,1.88,1.36,,1.81,0.96,,0.74,0.87,0.78,,0.90,1.62,0.94,2.10,0.70,1.03,1.58,1.04,0.70,0.35,,1.40,1.20,,1.24,,,0.70,0.35,0.88,,1.64,0.96,1.22,1.37,,1.41,0.61,0.70,,,,,1.31,,1.13,0.56,0.57,,0.92,,,0.75,,,,0.75,,,0.32,0.34
18,SAPRE AUTO ANCILLARY ,8.00,CCARE,"purchase@sapreauto.com, quality@sapreauto.com",Nil,NO,NO,RUSTX,1.00,16.8.2025,yes,,22,22/20,,15,,,4.97,,8.73,8.54,2.26,4.28,6.53,5.34,3.79,4.86,3.19,5.24,3.09,1.49,3.22,2.42,2.37,0.87,1.90,1.80,1.52,1.11,3.02,1.19,0.90,1.49,0.26,0.56,0.59,0.30,0.37,1.21,0.41,0.39,1.37,2.37,1.40,2.14,1.45,1.41,1.62,1.30,1.79,0.99,0.97,1.38,1.95,0.67,0.60,0.40,0.58,0.79,0.66,0.38,0.46,0.96,0.77,0.47,0.71,0.55,0.75,0.90,0.44
19,COPELAND INDIA PVT. LTD.,10.00,CCARE,,Nil,,,RUSTX,1.00,4.8.2025,,,,,,,,,,,,,0.97,2.71,3.68,6.44,,,,,,0.92,2.39,1.18,3.68,3.68,3.40,0.05,,,,0.04,,,,,0.82,5.22,2.62,2.42,2.59,2.49,3.77,1.67,1.27,,2.09,1.09,2.10,0.91,1.37,1.02,1.46,1.53,,,,,,,,,,,,,,,,,
20,Mantri Metallics 1,5.00,CCARE,purchase2@mantrimetallics.com,Pay & Charge,NO,NO,RUSTX,1.00,12.8.2025,yes,,,20/22,,,1.89,,1.89,,3.21,2.77,1.97,1.48,1.97,1.48,1.47,1.90,0.99,0.99,1.48,1.65,1.86,0.99,1.97,1.48,1.95,1.48,1.53,1.44,0.94,1.41,1.72,1.41,1.41,1.30,0.94,1.82,0.94,0.94,1.36,1.41,2.24,1.41,0.94,0.94,1.77,1.82,0.94,1.36,1.30,0.94,1.41,2.77,2.76,2.06,3.21,1.38,0.82,0.88,0.42,2.23,1.62,1.55,0.84,3.03,1.52,1.36,2.85,0.42,2.24
21,GMT CORPORATION PVT. LTD. ,2.00,CCARE,,To Pay,,,RUSTX,1,14.8.2025,,,,,,,,,1.73,,,2.11,0.62,1.86,,2.05,,,0.56,1.97,0.33,0.61,1.76,,0.84,2.00,,0.16,1.42,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sunil Industries,10.00,CCARE,"stores@sunilind.co.in, bap_sunilind@yahoo.com, gmo@sunilind.co.in",Nil,YES,NO,RUSTX,1.00,17.7.2025,YES,,22,,,,0.74,,1.50,,1.13,3.95,3.68,2.76,2.26,2.17,3.20,3.86,2.36,1.97,2.36,0.89,1.60,3.03,1.43,2.92,2.69,2.48,3.34,3.10,1.76,2.01,2.23,1.74,0.13,3.62,2.07,,2.83,0.62,1.56,2.56,2.14,1.00,0.51,1.03,0.73,0.50,0.33,1.42,0.41,0.91,1.16,1.01,1.07,0.69,0.15,1.18,0.35,,0.31,,0.31,0.31,,0.31,0.31,,,,0.31
23,BRIGHT SALES,7.00,CCARE,,To Pay,N,N,RUSTX,0.50,13.6.2025,YES,,22,21,,,,,1.58,,1.27,2.45,1.96,1.72,1.76,1.29,1.85,1.29,1.51,1.29,1.12,1.19,1.24,0.79,1.91,1.24,1.59,0.72,1.43,1.51,1.19,1.12,1.19,1.19,0.72,0.79,1.64,1.12,0.79,1.51,1.12,1.19,1.12,0.83,1.24,0.40,1.24,1.42,0.89,0.10,,,,,,,,,,,,,,,,,,,,,
24,Electron Engineer ,0.00,CCARE,bharatsadale86@gmail.com,To Pay,NO,NO,RUSTX,1.00,5.8.2025,YES,,22,22,10,13,0.95,0.57,1.90,,5.81,1.83,2.06,2.98,3.11,2.53,0.69,1.89,2.22,2.03,2.32,0.97,1.14,0.90,1.31,2.03,1.85,0.76,0.95,1.18,2.05,1.43,0.91,1.05,0.97,1.11,0.93,1.33,1.55,1.79,0.69,1.68,1.61,1.38,1.53,0.79,1.72,1.31,0.81,1.41,2.34,1.10,1.66,1.22,1.16,1.60,1.08,1.82,1.44,1.79,0.57,1.87,1.16,1.14,1.34,1.19,0.86,1.26,0.66,1.11,0.52
25,GRAZIANO TRANSMISSIONI (EOU UNIT) ,30.00,CCARE,chandrakant.giri@dana.com,Nil,YES,NO,RUSTX,1.00,17.8.2025,,,,,,,,2.76,1.94,,,1.38,0.97,0.56,0.77,0.58,0.30,0.03,1.10,1.59,1.11,1.52,1.10,0.72,0.42,1.52,0.19,0.99,0.57,0.26,1.73,2.21,0.78,0.19,0.92,1.85,0.42,1.20,0.91,0.39,0.42,1.66,1.29,1.53,1.22,1.15,0.14,1.18,0.43,0.90,0.42,1.34,0.19,0.90,0.19,0.76,0.38,0.46,0.17,0.19,1.19,0.57,0.63,0.77,0.05,0.61,,1.05,0.28,,0.33
26,GRAZIANO TRANSMISSIONI (DTA UNIT) ,,CCARE,,,,,,1.00,,,,,,,,,,,,,0.71,0.57,0.28,0.28,0.28,0.28,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SOUND CASTING UNIT 5,10.00,CCARE,,Nil,N,N,RUSTX,1.00,7.8.2025,yes,,,,,,,,1.21,,0.76,1.16,5.69,8.57,1.39,6.29,1.11,0.48,2.38,,0.29,,0.82,2.03,,2.08,1.90,1.30,,,1.03,0.79,3.33,,0.93,2.00,0.18,1.15,0.49,,1.02,,0.95,0.23,0.60,0.27,,0.29,0.18,2.59,0.21,,,,,,,,,,,,,,,,,,,,
28,KANERI INDUSTRIES,5.00,CCARE,,Pay & Charge,N,N,RUSTX,1.00,19.7.2025,yes,,24,20,,15,1.39,,3.08,,2.36,4.48,1.73,1.76,0.45,1.68,1.35,2.00,1.30,0.70,1.93,1.87,0.61,,,,2.22,1.51,0.44,0.29,1.68,1.21,0.99,,,1.23,1.31,,0.87,1.21,0.43,1.28,2.26,,,,1.20,,2.03,,,,,,,,,,,,,,,,,,,,,,
29,VALVEWORK,2.00,CCARE,"vpatil@valveworks.in, jbuchade@valveworks.in",To Pay,NO,NO,RUSTX,1.00,19.7.2025,yes,,,,,,,0.14,,,1.03,,,,0.43,,0.56,,,0.27,,,0.61,,,0.30,0.41,,,,,,0.98,,0.98,,,0.06,,,,0.35,0.39,,,,,0.56,0.58,,0.16,,0.69,,0.85,,0.45,0.03,0.91,,,,0.32,0.09,0.21,0.12,0.54,0.21,0.15,,
30,Sound casting unit 1 ,10.00,CCARE,u1.purchase1@soundcastings.com,Nil,YES,NO,RUSTX,1.00,4.7.2025,yes,,,,,,,,2.66,,2.43,0.79,0.93,0.72,1.01,0.52,1.41,0.55,0.93,0.39,1.20,0.92,0.49,0.41,0.09,0.87,1.28,1.68,0.98,0.69,0.56,0.99,1.65,1.57,0.66,1.27,1.55,0.76,1.10,1.15,1.00,,1.33,1.57,0.42,2.62,1.75,0.33,0.75,1.93,3.05,1.85,1.10,1.41,1.05,0.30,1.36,1.15,0.85,1.19,0.33,0.59,0.83,1.22,0.37,0.28,2.99,2.68,0.96,0.59,0.82
31,FORTUNATE ENTERPRISES,0.00,CCARE,,Nil,N,,RUSTX,1.00,12.3.2025,yes,,,15,,,,,0.31,,0.67,0.63,,0.94,,0.57,0.57,0.37,0.37,0.40,0.57,0.37,0.40,0.74,0.80,,0.40,1.17,0.57,,1.37,0.80,0.57,0.74,1.17,1.17,0.94,1.17,0.97,0.80,0.18,0.84,0.65,0.45,0.37,0.74,0.46,,,,,,,,,,,,,,,,,,,,,,,,
32,Kaneri Enterprisses,7.00,CCARE,kaneri.enterprises@gmail.com kaneri.industries@rediffmail.com kaneri.enterprises@gmail.com kaneri.industries@rediffmail.com amol@kaneriautoparts.com,Pay & Charge,NO,NO,RUSTX,1.00,9.8.2025,yes,,24,20,,,1.01,,6.90,,2.85,3.50,2.71,2.28,1.98,1.72,1.55,1.70,2.69,3.01,1.67,0.94,,2.23,1.29,2.82,1.77,1.57,1.93,2.97,2.48,2.50,0.52,3.15,1.92,1.00,2.84,0.16,1.53,3.24,1.84,2.09,,2.98,3.00,2.94,,1.35,0.52,1.18,1.63,2.80,,2.59,1.23,1.81,1.07,2.00,0.82,0.18,1.35,2.13,0.74,1.67,1.11,1.98,1.18,1.45,0.97,0.84,1.75
33,JK TALABOT,3.00,CCARE,Ashwini.Palande@raymond.in,To Pay,,,RUSTX,1.00,15.6.2025,,,,,,,,,,,,,,,0.47,0.24,,0.76,,1.89,0.71,,,0.47,0.52,0.35,0.52,,2.48,1.30,,,1.06,,,1.06,,,,1.06,,,,0.35,0.94,,,,1.06,,,0.71,,0.87,,,,,,,,,,,,,,1.36,,1.15,
34,MAURYA GLOBAL,0.00,NEWBIZ,,Nil,,,,1,,yes,,,,,,1.86,,3.11,,0.92,2.39,1.31,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,GOKUL FERROCAST,7.00,CCARE,,To Pay,YES,NO,RUSTX,0.80,21.6.2025,yes,,,20,,,,,1.13,,1.04,1.04,0.38,0.87,0.87,0.87,0.87,,0.87,0.87,0.87,0.87,0.87,0.87,0.38,0.48,0.77,,0.87,1.25,1.25,0.87,0.96,,0.87,0.87,0.87,0.87,0.97,1.35,0.97,0.97,1.45,0.65,,0.17,,0.65,,,,,,,,0.24,,,0.20,,,,,,0.18,,0.18,,,,
36,JAGADEESH CASTINGS PVT. LTD. ,3.00,CCARE,,Nil,N,N,Dr. bio,0.8,18.6.2025,,,,,,,,,1.03,,,0.41,0.41,0.69,0.65,,0.49,0.55,0.69,,0.62,1.19,0.31,,0.32,,0.4,1.13,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Jinabakul pvt ltd 4,2.00,CCARE,jfpl4purchase@gmail.com,Nil,NO,NO,RUSTX,0.80,13.8.2025,,,,,,,1.08,,11.31,,5.30,1.14,3.34,4.75,2.08,2.64,0.63,1.55,1.24,0.83,0.83,1.13,,1.34,0.94,0.62,,,1.35,0.67,0.46,0.94,2.02,0.88,0.62,,0.93,0.46,0.67,,0.36,0.26,,,,,0.17,0.46,,0.94,0.62,0.52,,,,,0.11,0.11,,,0.70,0.43,0.70,,0.40,0.40,0.43,,0.57,0.30,0.43
38,Fie Spherotech,4.00,CCARE,purchase@fiespherotech.com,Pay & Charge,NO,NO,RUSTX,0.75,16.11.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.76,0.76,1.53,1.58,1.63,1.63,1.63,0.81,0.81,1.63,0.81,0.81,0.81,1.63,1.63,0.81,1.43,0.72,0.72,0.72,0.65,0.65,0.65,0.65,0.65,0.65,0.33,0.65,0.33,0.33,
39,MAHABAL AUTO,10.00,CCARE,amirpathan@mahabal.in,To Pay,,,RUSTX,0.70,23.5.2025,yes,,,20,,,,,1.20,,1.02,2.19,0.97,1.20,0.45,2.42,0.16,1.22,1.58,1.90,0.85,1.71,1.07,0.89,1.08,0.73,1.37,0.85,2.13,1.20,1.08,1.38,2.17,1.14,0.80,2.28,1.43,2.15,1.36,0.54,2.52,0.91,1.77,1.45,0.82,0.67,1.72,1.90,1.16,2.15,0.78,1.08,1.99,1.78,1.75,0.84,1.26,1.78,1.92,0.62,1.75,0.62,0.98,0.62,1.85,1.78,0.89,1.10,0.78,1.05,1.05
40,PRABHA ENGG,4.00,CCARE,purchase.prabha@versatilegroup.co.in,To Pay,NO,NO,RUSTX,0.70,29.6.2025,yes,,,22/20,,,1.12,,1.01,,1.01,0.86,0.84,0.84,,1.68,,0.84,0.84,0.37,0.84,1.68,0.84,0.84,,1.68,0.84,0.84,0.84,0.91,0.84,1.21,0.84,0.84,,0.84,0.74,,,0.84,0.84,0.84,0.84,0.89,0.84,0.84,0.84,0.84,,0.84,,0.84,0.84,0.84,0.84,0.77,0.77,,1.08,0.72,,,0.72,,0.72,0.72,0.72,0.72,0.72,,0.72
41,PADMAVATI TECHNOLOGIES,2.00,CCARE,,Nil,N,N,RUSTX,0.70,6.8.2025,,,,,,,,,2.32,,,0.35,0.74,0.35,0.35,0.69,,0.69,0.69,0.35,0.74,0.69,0.69,0.35,0.35,0.35,0.35,0.35,0.69,0.35,0.69,1.13,0.35,0.35,0.69,0.69,0.35,0.69,0.69,0.35,0.69,0.74,0.70,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SWIFT ENTERPRISES,3.00,CCARE,seplprocurement@scfsepl.com,Pay & Charge,NO,NO,RUSTX,0.70,25.5.2025,,,,,,,0.58,,0.63,,,,0.21,,0.21,0.21,,0.21,0.21,,,0.21,,0.21,,0.21,,,0.41,,,0.52,,0.41,0.68,,0.57,0.26,0.57,0.57,,0.41,0.68,0.68,0.21,,0.68,,0.68,,0.68,,0.47,,0.68,0.68,,0.61,,0.51,0.51,,0.51,,0.58,0.42,,0.42,,,0.42
43,PADMAVATI CASTING,2.00,CCARE,,Nil,n,n,RUSTX,0.70,20.4.2025,,,,,,,,,,,0.10,,,,,,,,,,,,,,0.35,,,,,,0.35,0.35,0.39,0.35,0.35,0.69,,0.35,0.35,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ANJALI T PRECISION,7.00,CCARE,purchase@anjalitprecision.com,Pay & Charge,,,RUSTX,0.50,,,,,,,,,0.49,4.42,,2.14,2.27,3.29,,3.95,2.84,1.91,1.65,1.85,1.32,1.89,1.19,1.87,0.81,1.45,0.93,0.46,1.07,1.18,1.60,1.00,1.20,1.13,1.28,0.46,0.46,0.93,0.93,0.63,1.18,0.82,1.52,0.93,1.38,0.57,1.97,,1.13,1.62,,0.72,1.58,0.46,1.27,1.19,0.93,0.46,,,1.07,0.87,0.43,1.09,0.50,0.94,0.87,0.90,0.51,0.87,0.51,0.43
45,SOUND CASTING UNIT 2,15.00,CCARE,akash.patil@soundcastings.com,Nil,,,RUSTX,0.50,24.7.2025,yes,,,,,,,,2.11,,6.11,,5.57,1.28,2.88,1.16,1.93,1.47,1.77,2.73,1.35,1.03,1.31,0.91,2.09,1.34,0.83,0.05,0.80,0.52,0.37,0.81,0.95,0.32,0.62,0.84,0.56,2.04,0.36,0.63,0.82,0.90,1.00,0.33,2.14,2.90,1.94,1.75,1.31,2.66,1.06,1.32,0.07,1.79,1.29,2.82,2.50,1.04,0.91,1.45,1.79,1.58,0.86,1.42,3.03,3.33,2.28,2.83,2.71,1.32,1.90
